title,authors,average_rating,num_pages,ratings_count,isbn13
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,11797,9780761129585
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,34,9780972016414
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,78,9781581805635
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,2785,9780441294671
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,38778,9780441102679
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,97494,9780441172696
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,784,9780765306470
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,272,9780399128981
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,4789,9780765353702
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,45388,9780441328000
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,26153,9780618212903
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,69167,9780345410054
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256,16,9780785260059
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,174,9780471780939
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,10,9780325001531
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,76,9780060762872
eBay for Dummies,Marsha Collier,3.5,386,111,9780470045299
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,260,24,9780072262780
Starting an eBay Business for Dummies,Marsha Collier,3.55,384,55,9780764569241
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,9,9780471933823
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,22,9780764559914
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,17,9780764584381
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,166,9780596523695
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,50,9780806523491
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,13,9780806525365
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,64,9780596527310
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643,9780143035008
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,109420,9780451528612
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,2904,9780140449174
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,16,9780822001836
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9564,9781593080273
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,474,9780486437965
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,303,9781593081775
Dinner with Anna Karenina,Gloria Goldreich,2.99,360,411,9780778322276
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1204,9780521313254
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,3429,9780140183955
The Untouchable,John Banville,3.95,367,2163,9780679767473
The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,613,9781568491981
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,308,9780743270793
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,100,10,9780932863058
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,224,16,9780742508804
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,216,10,9780205358625
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,48,17,9781557344038
Wrinkles in Time,George Smoot/Keay Davidson,4.01,360,1035,9780380720446
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,250,36,9780821925324
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,32,15,9780439271691
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,205,6,9780606105262
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,376,9780751506433
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352,3086,9780060786717
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,320,352,9780743499347
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,331,9852,9780765313409
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,244,821,9781400032495
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,215,731,9781400032488
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191,2897,9781400032464
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,98,9780679732525
I am Charlotte Simmons,Tom Wolfe,3.42,738,20888,9780312424442
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,48,66,9780806930770
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,81,9780140366600
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217,981,9780811201124
Quiet Days in Clichy,Henry Miller,3.69,154,3381,9780802130167
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,318,53206,9780802131782
Tropic of Capricorn,Henry Miller,3.78,348,14872,9780802151827
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,316,3261,9780802151780
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,7805,9780802151803
The Air-Conditioned Nightmare,Henry Miller,3.83,292,2699,9780811201063
The Portrait of a Lady,Henry James/Patricia Crick,3.78,797,61640,9780141439631
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,635,392,9781593080969
Writing,Marguerite Duras,3.75,91,778,9781571290533
The War,Marguerite Duras/Barbara Bray,3.85,192,963,9781565842212
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,181,2057,9780394743042
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,178,203,9781851681822
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,464,35,9781566562492
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,102,328,9780140195538
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216,1308,9780394431246
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,132,6432,9780806501901
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100,3015,9780679439202
Treasure Island,Robert Louis Stevenson,3.83,311,318753,9780753453803
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,213,420,9781402714573
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,64,104,9780689854682
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,272,56,9780517221143
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,232,91,9781577658054
100 Years of Lynchings,Ralph Ginzburg,4.61,270,88,9780933121188
Cien años de soledad,Gabriel García Márquez,4.07,448,63,9780785950103
On Beyond Zebra!,Dr. Seuss,4.04,64,2815,9780394800844
The Wedding Clause,Debbie Raleigh,3.6,256,95,9780821778258
The Zebra Wall,Kevin Henkes,3.44,147,217,9780060733032
El perfume: Historia de un asesino,Patrick Süskind,4.02,239,4136,9788432216060
The Door Into Summer,Robert A. Heinlein,4.01,304,17232,9780345413994
Stranger in a Strange Land,Robert A. Heinlein,3.92,528,251872,9780441788385
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434,10293,9780441748600
Job: A Comedy of Justice,Robert A. Heinlein,3.78,439,15970,9780345316509
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,256,6898,9780765314932
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,307,67803,9780671742515
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298,22091,9780345455291
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,2623,9780345476517
Douglas Adams's Starship Titanic,Terry Jones,3.6,256,885,9780345368430
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,336,5,9781417622856
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,72,100,9780573650963
On Bullshit,Harry G. Frankfurt,3.57,67,9358,9780691122946
Another Bullshit Night in Suck City,Nick Flynn,3.78,347,9318,9780393329407
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,120,9780671867423
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,32,5239,9780395883976
Underworld,Don DeLillo,3.92,827,1505,9780684848150
Libra,Don DeLillo,3.99,480,11857,9780140156041
Americana,Don DeLillo,3.43,377,393,9780140119480
Running Dog,Don DeLillo,3.43,256,1356,9780679722946
Cosmopolis,Don DeLillo,3.22,224,460,9780743244251
Great Jones Street,Don DeLillo,3.48,272,2492,9780140179170
The Names,Don DeLillo,3.64,339,3100,9780679722953
Against the Day,Thomas Pynchon,4.13,1085,5296,9781594201202
V.,Thomas Pynchon,3.96,547,1415,9780060930219
The Crying of Lot 49,Thomas Pynchon,3.69,152,2161,9780060931674
Gravity's Rainbow,Thomas Pynchon,4.01,784,762,9780140283389
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,773,8086,9780312423209
Vineland,Thomas Pynchon,3.69,385,702,9780141180632
Slow Learner: Early Stories,Thomas Pynchon,3.5,193,334,9780316724432
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,352,2473,9780140189308
The Year of Magical Thinking,Joan Didion,3.89,227,2656,9781400043149
The White Album,Joan Didion,4.17,222,11889,9780374522216
A Book of Common Prayer,Joan Didion,3.8,272,2962,9780679754862
Where I Was From,Joan Didion,3.86,240,2842,9780679752868
Slouching Towards Bethlehem,Joan Didion,4.21,238,26934,9780374521721
Democracy,Joan Didion,3.81,234,2070,9780679754855
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,1122,1564,9780307264879
Play It As It Lays,Joan Didion/David Thomson,3.87,231,23656,9780374529949
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,308,43200,9780143039839
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,203,12410,9780140097313
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,96,3672,9780140097351
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,179,2998,9780940650763
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,256,74,9780963188922
The Brooklyn Follies,Paul Auster,3.84,306,17977,9780312426231
Moon Palace,Paul Auster,3.94,320,16099,9780140115857
The Music of Chance,Paul Auster,3.9,217,361,9780140154078
Travels in the Scriptorium,Paul Auster,3.23,145,6688,9780805081459
Leviathan,Paul Auster,3.96,275,11744,9780140178135
The Red Notebook: True Stories,Paul Auster,3.77,104,2390,9780811214988
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,1075,21,9782742741465
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,608,52522,9780143036555
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,211,213,9780446579780
Collapse of Complex Societies,Joseph A. Tainter,4.15,262,719,9780521386739
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,544,4762,9780743203043
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,272,62,9780345438713
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,576,278,9780393318289
My Inventions,Nikola Tesla,4.01,88,2862,9781599869940
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,542,2829,9780806519609
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,144,105,9780822549208
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,100,102,9780932813862
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,249,478,9780373792689
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,828,1577,9780974514055
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,112,73,9780764585975
Lord of the Flies,William Golding,3.68,6,408,9780307281708
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,397,1693,9780812969702
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,216,1,9780060255084
The Lovely Bones,Alice Sebold,3.81,328,6485,9780330485388
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,224,1371,9780345360359
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,296,793,785342303476
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,456,549,9780321430847
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,575,288,9783822840856
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,245,26381,9780743264464
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,272,62089,9780743236010
Vice (V  #8),Jane Feather,3.51,419,474,9780553572490
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,540,166046,9780060589462
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,32,1773,9780802789471
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,408,286,9780688060695
Motorcycle Basics Techbook,John Harold Haynes,3.85,222,40,9781859605158
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,191,27,9781592530878
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,304,7300,9780451528803
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,1392,211671,9780192833983
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,352,2403,9780486451381
Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,1168,322483,9780452011878
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,224,2750,9780451163080
The Fountainhead,Ayn Rand,3.87,752,1886,9780452286757
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,176,11462,9780451163936
Anthem,Ayn Rand,3.63,105,110952,9780452281257
We the Living,Ayn Rand/Leonard Peikoff,3.91,464,23199,9780451187840
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,340,3501,9780451147950
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,681,18,9780452274044
Sailing for Dummies,J.J. Isler/Peter Isler,3.95,416,150,9780471791430
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,368,646,9780553803815
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,192,12180,9780375755194
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,286,51,9781592283194
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,571,1601,9780975599518
The Natural,Bernard Malamud/Kevin Baker,3.63,231,8854,9780374502003
Digging to America,Anne Tyler,3.55,277,17155,9780307263940
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,826,44,9780312405540
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,528,234,9780195170139
The Plot Against America,Philip Roth,3.77,391,33321,9781400079490
Naked Pictures of Famous People,Jon   Stewart,3.59,164,8703,9780688171629
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,352,6375,9780060932688
Crónica de una muerte anunciada,Gabriel García Márquez,3.97,118,7888,9781400034956
Del amor y otros demonios,Gabriel García Márquez,3.98,176,4508,9780307350442
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,533,397,9781400034543
Memoria de mis putas tristes,Gabriel García Márquez,3.6,112,5856,9781400095803
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,425,32569,9780375708114
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,288,37,9780861714926
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,363,1,9781843535843
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,128,11,9781740594776
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,480,0,9788408064763
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.0,295,0,9781740592055
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,287,6870,9780618710539
Cryptonomicon,Neal Stephenson,4.25,1139,83184,9780060512804
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,418,5,9782228894166
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,815,19320,9780060733353
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,927,30872,9780060593087
The Cobweb,Neal Stephenson/J. Frederick George,3.61,448,2465,9780553383447
The Big U,Neal Stephenson,3.25,308,4657,9780380816033
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,499,71042,9780553380965
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,640,4731,9780553383430
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,464,1567,9780060833183
Snow Crash,Neal Stephenson/Guy Abadia,4.03,438,188100,9780553380958
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,450,1474,9781880685358
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,381,1929,9781880685334
The Design of Everyday Things,Donald A. Norman,4.17,240,18602,9780465067107
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,272,3702,9780465051366
The Psychology of Everyday Things,Donald A. Norman,4.17,257,265,9780465067091
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,259,51,9780898709193
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86,192,920,9780060887964
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,197,1631221,9780061122415
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,192,9013,9781421504605
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,192,16666,9781591169253
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,192,11451,9781421504599
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,192,111091,9781591169208
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,200,10752,9781591169291
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86,198,251,9780060192501
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,192,14923,9781591169239
Pompeii,Robert   Harris,3.82,274,26922,9780812974614
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.6,360,1156,9781587157394
Of Mice and Men,John Steinbeck,3.87,103,1755253,9780142000670
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,464,20529,9780060554736
The Westing Game,Ellen Raskin,4.02,182,142121,9780142401200
The Egypt Game,Zilpha Keatley Snyder,3.83,215,30231,9780808553038
Memoirs of a Geisha,Arthur Golden,4.11,503,280309,9781400096893
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,144,145,9781557046833
Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,334,1556,9780743430593
Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,58,9,9781932664393
